ServiceStep,CylinderNumber
0,1872
1,3982
2,4753
3,917
4,3659
5,3898
6,2993
7,2984
8,780
9,2229
10,779
11,499
12,290
13,2296
14,4330
15,1668
16,3005
17,714
18,3540
19,3254
20,102
21,282
22,4849
23,3609
24,4162
25,4692
26,1061
27,3
28,909
29,4961
30,917
31,3087
32,1521
33,3058
34,2623
35,35
36,2159
37,115
38,1456
39,2623
40,3059
41,1999
42,697
43,233
44,1460
45,4868
46,1831
47,1163
48,2280
49,453
50,3925
51,3091
52,998
53,1912
54,2571
55,4916
56,2962
57,2333
58,232
59,4299
60,3037
61,3401
62,852
63,2252
64,325
65,66
66,4744
67,4711
68,4828
69,2816
70,4041
71,1927
72,1523
73,79
74,488
75,1154
76,3421
77,1205
78,2200
79,3416
80,610
81,3049
82,2475
83,4165
84,171
85,866
86,4546
87,1955
88,1293
89,911
90,3312
91,3776
92,1558
93,2125
94,2600
95,1039
96,2733
97,2838
98,924
99,156
100,4847
101,4211
102,3875
103,2248
104,4697
105,1975
106,4474
107,4633
108,2989
109,3636
110,4609
111,1632
112,442
113,2852
114,979
115,2604
116,226
117,4805
118,1626
119,4222
120,1943
121,3736
122,1356
123,2698
124,4143
125,2933
126,1783
127,4826
128,1404
129,3035
130,2713
131,1379
132,704
133,1481
134,4010
135,826
136,372
137,78
138,4934
139,2117
140,3861
141,1974
142,993
143,1467
144,27
145,70
146,4077
147,994
148,3534
149,3556
150,3645
151,3950
152,3856
153,3029
154,370
155,4631
156,1792
157,3255
158,579
159,4574
160,4315
161,4250
162,3116
163,2247
164,1654
165,477
166,317
167,1854
168,1554
169,3344
170,1625
171,3329
172,3648
173,2956
174,3187
175,1373
176,4436
177,2806
178,2361
179,1914
180,597
181,4858
182,3566
183,4244
184,3803
185,3608
186,2806
187,1179
188,3854
189,1280
190,2468
191,202
192,2613
193,3553
194,2137
195,554
196,127
197,2196
198,539
199,1008
200,157
201,4478
202,3182
203,2376
204,1571
205,2816
206,2542
207,3477
208,4537
209,696
210,1246
211,3022
212,2051
213,2699
214,3777
215,1015
216,1143
217,4714
218,384
219,2994
220,1448
221,3473
222,806
223,4402
224,4648
225,3121
226,4040
227,1478
228,3167
229,527
230,4357
231,2282
232,4018
233,1092
234,932
235,2082
236,4462
237,4416
238,2696
239,1621
240,4037
241,610
242,4480
243,1781
244,1590
245,4534
246,550
247,1360
248,1139
249,3238
250,2135
251,2
252,4090
253,1762
254,4303
255,1523
256,34
257,823
258,2553
259,2670
260,2087
261,2424
262,1110
263,3462
264,599
265,1347
266,1688
267,1220
268,4714
269,841
270,1616
271,1093
272,2593
273,2790
274,3515
275,2019
276,1818
277,324
278,4858
279,1269
280,4812
281,1234
282,1258
283,3481
284,2486
285,3561
286,1504
287,740
288,1424
289,4988
290,184
291,1333
292,3047
293,4883
294,2513
295,2055
296,257
297,165
298,1393
299,1725
300,4541
301,3171
302,1197
303,3403
304,724
305,2654
306,2447
307,2238
308,4928
309,2764
310,1210
311,2963
312,3360
313,404
314,3808
315,1848
316,1188
317,1210
318,3641
319,4015
320,1838
321,2351
322,3161
323,4917
324,3167
325,1994
326,2678
327,4082
328,451
329,3991
330,4176
331,753
332,1603
333,2540
334,932
335,3479
336,203
337,4291
338,2954
339,1629
340,3387
341,1101
342,82
343,3555
344,2560
345,4047
346,1132
347,1743
348,3225
349,480
350,871
351,4702
352,3454
353,1987
354,1933
355,2588
356,4683
357,4188
358,687
359,3378
360,1705
361,3676
362,567
363,1045
364,4623
365,2707
366,4386
367,3478
368,1289
369,1142
370,3299
371,874
372,4086
373,4910
374,2776
375,2583
376,2648
377,1304
378,1209
379,4981
380,465
381,4827
382,4486
383,2791
384,4502
385,4413
386,3165
387,943
388,1695
389,1394
390,1746
391,3501
392,3629
393,4233
394,4485
395,4281
396,4435
397,2022
398,3899
399,4438
400,3210
401,4254
402,420
403,4678
404,808
405,3926
406,4492
407,3344
408,3032
409,2903
410,45
411,1861
412,507
413,4700
414,3317
415,4868
416,25
417,1419
418,804
419,1526
420,2743
421,2428
422,3459
423,2242
424,3259
425,4972
426,1121
427,879
428,3560
429,90
430,1186
431,2469
432,1626
433,894
434,3732
435,1832
436,3248
437,3720
438,4246
439,3604
440,3288
441,1540
442,2841
443,2712
444,468
445,2544
446,1838
447,3181
448,1326
449,1252
450,1219
451,2949
452,4865
453,4894
454,1965
455,2433
456,4460
457,4530
458,3155
459,2171
460,3974
461,1750
462,2513
463,3225
464,2884
465,3344
466,2462
467,4320
468,976
469,1150
470,3612
471,2495
472,1403
473,2860
474,121
475,3842
476,3227
477,218
478,885
479,4972
480,4702
481,2349
482,4769
483,1397
484,4574
485,4417
486,1850
487,3738
488,77
489,4765
490,4641
491,1653
492,2140
493,2763
494,4833
495,2861
496,4818
497,4901
498,4265
499,376
500,1472
501,1528
502,1925
503,954
504,4255
505,1342
506,1584
507,2426
508,847
509,1863
510,2784
511,1973
512,4680
513,4221
514,3480
515,4650
516,2850
517,352
518,485
519,1044
520,3075
521,3355
522,4950
523,1793
524,700
525,1270
526,2591
527,1476
528,4386
529,1612
530,3703
531,4243
532,3485
533,683
534,3512
535,3544
536,1797
537,2764
538,1467
539,1482
540,4046
541,2098
542,4050
543,1281
544,4335
545,3057
546,4566
547,407
548,2556
549,25
550,2507
551,3139
552,3991
553,971
554,3249
555,354
556,3509
557,1983
558,3978
559,253
560,4450
561,4433
562,1689
563,138
564,1877
565,2894
566,469
